,ticker_x,Security,Sector,SectorTicker,date_start_x,len_x,ticker_y,date_start_y,len_y
1,AMZN,Amazon,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
2,AZO,AutoZone,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
3,BBY,Best Buy,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
4,BWA,BorgWarner,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
6,CCL,Carnival,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
7,DHI,D.R. Horton,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
8,DRI,Darden,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
10,DLTR,Dollar Tree,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
11,EBAY,eBay,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
13,F,Ford,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
14,GPC,Genuine Parts,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
16,HAS,Hasbro,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
17,HD,Home Depot,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
19,LOW,Lowe's,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
20,MAR,Marriott International,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
21,MCD,McDonald's,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
22,MHK,Mohawk Industries,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
23,NWL,Newell Brands,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
24,NKE,Nike,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
25,NVR,NVR,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
26,ORLY,O'Reilly Automotive,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
27,PENN,Penn National Gaming,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
28,POOL,Pool Corporation,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
29,PHM,PulteGroup,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
30,PVH,PVH,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
31,RL,Ralph Lauren,Consumer Discretionary,XLY,03/01/2000,5598.0,XLY,03/01/2000,5598.0
